"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"John Abraham","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Sam Acho","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Lorenzo Alexander","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Marcus Benard","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Justin Bethel","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Desmond Bishop","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Jaron Brown","Arizona Cardinals","2014","Active",1,"Healthy","None"
"John Brown","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Deone Bucannon","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Calais Campbell","Arizona Cardinals","2014","Active",1,"Healthy","None"
"John Carlson","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Glenn Carson","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Jonathan Cooper","Arizona Cardinals","2014","Active",1,"Probable"," Toe"
"Antonio Cromartie","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Kenny Demens","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Darnell Dockett","Arizona Cardinals","2014","Out",1,"Injured Reserve"," Knee"
"Jonathan Dwyer","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Andre Ellington","Arizona Cardinals","2014","Active",1,"Doubtful"," Foot"
"Paul Fanaika","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Larry Fitzgerald","Arizona Cardinals","2014","Active",1,"Probable"," Knee"
"Michael Floyd ","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Larry Foote","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Rob Housler","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Robert Hughes","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Tony Jefferson","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Rashad Johnson","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Ted Larsen","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Bobby Massie","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Tyrann Mathieu","Arizona Cardinals","2014","Out",1,"Out"," Knee"
"Kevin Minter","Arizona Cardinals","2014","Active",1,"Probable"," Chest"
"Troy Niklas","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Alex Okafor","Arizona Cardinals","2014","Out",1,"Out"," Thigh"
"Carson Palmer","Arizona Cardinals","2014","Active",1,"Healthy","None"
"Patrick Peterson","Arizona Cardinals","2014","Active",1,"Healthy","None"
