"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type","Position","Side of Ball"
"Adrian Wilson","Arizona Cardinals",2009,"Active",9,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",1,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",10,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",15,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",3,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",19,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",18,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",2,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",11,"Probable","Groin","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",5,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",13,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",8,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",14,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",6,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",17,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",16,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",12,"Healthy","None","SS","Defense"
"Adrian Wilson","Arizona Cardinals",2009,"Active",7,"Healthy","None","SS","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",7,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",15,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",8,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",13,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",12,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",10,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",19,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",5,"Healthy","None","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",14,"Probable","Ankle","DT","Defense"
"Alan Branch","Arizona Cardinals",2009,"Active",11,"Healthy","None","DT","Defense"
